max phase,temp,time,del_m
Ti2AlC,1100,1.19949,0.03376
Ti2AlC,1100,16.28788,0.24629
Ti2AlC,1100,8.20707,0.16419
Ti2AlC,1100,10.98485,0.19719
Ti2AlC,1100,14.20455,0.23248
Ti2AlC,1100,14.20455,0.23248
Ti2AlC,1100,14.20455,0.23248
Ti2AlC,1100,14.20455,0.23248
Ti2AlC,900,5.17677,0.02379
Ti2AlC,900,2.14646,0.01151
Ti2AlC,900,6.94444,0.03223
Ti2AlC,900,10.10101,0.0445
Ti2AlC,900,11.36364,0.05064
Ti2AlC,900,12.62626,0.05448
Ti2AlC,900,13.25758,0.05831
Ti2AlC,900,14.5202,0.06138
Ti2AlC,900,16.98232,0.07059
Ti2AlC,900,18.87626,0.07596
Ti2AlC,900,19.50758,0.07826
Ti2AlC,900,20.13889,0.0798
Ti2AlC,900,21.40152,0.08286
Ti2AlC,900,22.03283,0.08517
Ti2AlC,900,23.29545,0.0867
Ti2AlC,900,7.70202,0.03453
Ti2AlC,900,8.33333,0.03683
Ti2AlC,800,18.56061,0.0435811
Ti2AlC,800,8.25758,0.0265541
Ti2AlC,800,11.36364,0.0310135
Ti2AlC,800,12.12121,0.0308108
Ti2AlC,800,19.92424,0.0512838
Ti2AlC,800,6.9697,0.0227027
Ti2AlC,800,16.13636,0.0405405
Ti2AlC,800,16.13636,0.0397297
Ti2AlC,800,25.68182,0.0595946
Ti2AlC,800,13.71212,0.0370946
Ti2AlC,800,3.71212,0.0184459
Ti2AlC,800,22.04545,0.0563514
Ti2AlC,700,16.06061,0.0210811
Ti2AlC,700,18.0303,0.0210811
Ti2AlC,700,25.98485,0.0206757
Ti2AlC,700,21.66667,0.0194595
Ti2AlC,700,30.68182,0.0208784
Ti2AlC,700,35.30303,0.0208784
Ti2AlC,700,4.84848,0.0121622
Ti2AlC,700,7.12121,0.0147973
Ti2AlC,700,2.19697,0.009527
Ti2AlC,700,10.68182,0.0180405
Ti2AlC,700,10.68182,0.0180405
Ti2AlC,700,10.68182,0.0180405
Ti3GeC2,900,8.40909,0.01098649
Ti3GeC2,900,3.25758,0.0689189
Ti3GeC2,900,1.36364,0.0308108
Ti3GeC2,900,2.12121,0.0541216
Ti3GeC2,900,5.75758,0.0936486
Ti3GeC2,900,7.27273,0.01005405
Ti3GeC2,900,4.31818,0.0855405
Ti3GeC2,900,2.80303,0.0628378
Ti3GeC2,900,0.15152,0.0081081
Ti3GeC2,900,1.89394,0.0417568
Ti3GeC2,900,1.89394,0.0417568
Ti3GeC2,900,1.89394,0.0417568
Ti2AlN,800,72.70115,0.0048824
Ti2AlN,800,84.1954,0.0051765
Ti2AlN,800,35.34483,0.0036471
Ti2AlN,800,46.83908,0.0041176
Ti2AlN,800,61.2069,0.0043529
Ti2AlN,800,14.08046,0.0024118
Ti2AlN,800,25.57471,0.0030588
Ti2AlN,800,99.42529,0.0055294
Ti2AlN,800,6.32184,0.0014118
Ti2AlN,800,6.32184,0.0014118
Ti2AlN,700,29.88506,0.0004706
Ti2AlN,700,44.25287,0.0005882
Ti2AlN,700,70.11494,0.0008824
Ti2AlN,700,87.35632,0.0011176
Ti2AlN,700,98.85057,0.0011765
Ti2AlN,700,6.6092,0.0001765
Ti2AlN,700,15.22989,0.0002353
Ti2AlN,700,51.14943,0.0007059
Ti2AlN,700,76.72414,0.001
Ti2AlN,900,69.82759,0.0087059
Ti2AlN,900,87.06897,0.0097059
Ti2AlN,900,46.55172,0.0072353
Ti2AlN,900,55.17241,0.0077647
Ti2AlN,900,18.96552,0.0054706
Ti2AlN,900,33.33333,0.0063529
Ti2AlN,900,5.74713,0.0021765
Ti2AlN,900,8.62069,0.0032941
Ti2AlN,900,14.08046,0.0045294
Ti2AlN,900,95.97701,0.0102353
Cr2AlC,1000,2.57545,0.0007014
Cr2AlC,1000,6.5996,0.0022122
Cr2AlC,1000,11.50905,0.0033993
Cr2AlC,1000,15.5332,0.0043705
Cr2AlC,1000,21.167,0.0052338
Cr2AlC,1000,26.8008,0.0056655
Cr2AlC,1000,30.82495,0.0058813
Cr2AlC,1000,34.84909,0.0061511
Cr2AlC,1000,38.87324,0.0064209
Cr2AlC,1000,38.87324,0.0064209
Cr2AlC,1000,38.87324,0.0064209
Cr2AlC,1100,0.80483,0.0011331
Cr2AlC,1100,2.41449,0.0038309
Cr2AlC,1100,3.54125,0.0054496
Cr2AlC,1100,6.76056,0.0076619
Cr2AlC,1100,11.58954,0.0093345
Cr2AlC,1100,16.57948,0.0106835
Cr2AlC,1100,22.93763,0.0132734
Cr2AlC,1100,22.93763,0.0132734
Cr2AlC,1100,34.20523,0.0141906
Cr2AlC,1100,38.63179,0.0148381
Cr2AlC,1100,19.15493,0.0113309
Cr2AlC,900,10.06036,0.001241
Cr2AlC,900,13.27968,0.0015108
Cr2AlC,900,17.30382,0.0017266
Cr2AlC,900,22.1328,0.0018345
Cr2AlC,900,27.7666,0.0019424
Cr2AlC,900,35.81489,0.0021583
Cr2AlC,900,39.03421,0.0022122
Cr2AlC,900,5.31187,0.0005396
Cr2AlC,900,3.13883,0.0003237
Cr2AlC,900,3.13883,0.0003237
Cr2AlC,900,3.13883,0.0003237
Nb4AlC3,800,3.06839,0.58127
Nb4AlC3,800,1.95933,0.36861
Nb4AlC3,800,1.14603,0.20734
Nb4AlC3,800,1.51571,0.28
Nb4AlC3,800,0.55453,0.08861
Nb4AlC3,800,2.25508,0.43772
Nb4AlC3,800,2.62477,0.49443
Nb4AlC3,800,4.02957,0.68759
Nb2SnC,600,1.41,0.75728
Nb2SnC,600,1.57,0.90874
Nb2SnC,600,1.766,1.07476
Nb2SnC,600,2.0745,1.21165
Nb2SnC,600,1.118,0.53592
Nb2SnC,600,0.567,0.27961
Nb2SnC,600,0.2917,0.14272
Nb2SnC,600,2.431,1.33689
Nb2SnC,600,3.14,1.36019
Nb2SnC,600,4.3598,1.39223
